seniority,german_requirement,count,n,share,ci_low,ci_high
intern_student,required_implied,15,42,0.357,0.23,0.508
intern_student,not_mentioned,13,42,0.31,0.191,0.46
intern_student,preferred,6,42,0.143,0.067,0.278
intern_student,required,5,42,0.119,0.052,0.25
intern_student,german_or_english,3,42,0.071,0.025,0.19
lead_head,not_mentioned,42,97,0.433,0.339,0.532
lead_head,required_implied,32,97,0.33,0.244,0.428
lead_head,preferred,10,97,0.103,0.057,0.179
lead_head,required,7,97,0.072,0.035,0.142
lead_head,mentioned,6,97,0.062,0.029,0.128
senior,required_implied,52,136,0.382,0.305,0.466
senior,not_mentioned,47,136,0.346,0.271,0.429
senior,preferred,17,136,0.125,0.08,0.191
senior,required,13,136,0.096,0.057,0.157
senior,mentioned,7,136,0.051,0.025,0.102
trainee_junior,not_mentioned,16,31,0.516,0.348,0.68
trainee_junior,required_implied,7,31,0.226,0.114,0.398
trainee_junior,preferred,6,31,0.194,0.092,0.363
trainee_junior,required,2,31,0.065,0.018,0.207
unspecified,not_mentioned,180,413,0.436,0.389,0.484
unspecified,required_implied,118,413,0.286,0.244,0.331
unspecified,preferred,49,413,0.119,0.091,0.153
unspecified,required,34,413,0.082,0.06,0.113
unspecified,mentioned,29,413,0.07,0.049,0.099
unspecified,explicitly_not_required,2,413,0.005,0.001,0.017
unspecified,german_or_english,1,413,0.002,0.0,0.014
